"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"22:53:33,5959115","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0xc51d454d.vcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:33,5960139","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0x863a5ea7.pcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:33,5961376","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0x5ee709f5.vcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:33,5962241","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0x0de2087d.pcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:33,5963356","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0xf9507142.vcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:33,5964449","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0x210e1f55.pcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:33,5965453","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0x7d429b33.vcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:33,5966326","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0xd6a210cd.pcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:33,5967301","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0x934bb5de.pcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
"22:53:33,5968528","LEGOMarvel.exe","3244","CreateFile","C:\Users\User\AppData\Roaming\Warner Bros. Interactive Entertainment\LEGO MARVEL Super Heroes\CachedShaders\0xaabcea8c.vcode","NAME NOT FOUND","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, AllocationSize: n/a"
